Numero,Proveedor,Almacen,Fecha,Estatus,Moneda,TipoCambio,Solicitados,Recibidos,Pendientes,DiasDeCredito,ElaboradoPor,Comentarios,Subtotal,IVA,Total,SubtotalMXN,IVAMXN,TotalMXN
3313,DICOLOR,Matriz,05/11/2025,Aprobada,MXN,1.000000,19.000000,0.000000,19.000000,21,Carmen Irianda ,,28783.21,4605.31,33388.52,28783.210000,4605.310000,33388.520000
3312,DECASA,Matriz,05/11/2025,Aprobada,MXN,1.000000,90.000000,0.000000,90.000000,0,Carmen Irianda ,,6127.59,980.41,7108,6127.590000,980.410000,7108.000000
3311,SUPER GEL,Matriz,05/11/2025,Aprobada,MXN,1.000000,437.000000,0.000000,437.000000,0,Carmen Irianda ,,5491.8,878.69,6370.49,5491.800000,878.690000,6370.490000
3310,JARCIERIA VALERIA,Matriz,05/11/2025,Surtida,MXN,1.000000,192.000000,192.000000,0.000000,15,Daniel Alejandro Calderon Hernández,,5945.99,951.36,6897.35,5945.990000,951.360000,6897.350000
3309,RS,Matriz,05/11/2025,Surtida,MXN,1.000000,4.000000,4.000000,0.000000,15,Daniel Alejandro Calderon Hernández,,482.74,77.24,559.98,482.740000,77.240000,559.980000
3308,RS,Matriz,05/11/2025,Surtida,MXN,1.000000,110.000000,110.000000,0.000000,15,Daniel Alejandro Calderon Hernández,,3030.18,484.83,3515.01,3030.180000,484.830000,3515.010000
3307,ALCOHOLERA DEL CENTRO,Matriz,05/11/2025,Aprobada,MXN,1.000000,3.000000,0.000000,3.000000,0,Josefina Nava ,234507(2),1939.66,310.34,2250,1939.660000,310.340000,2250.000000
3306,DIKYSA,Matriz,05/11/2025,Aprobada,MXN,1.000000,1.000000,0.000000,1.000000,0,Josefina Nava ,234159(5),2376,380.16,2756.16,2376.000000,380.160000,2756.160000
3305,SESHIR,Matriz,05/11/2025,Aprobada,MXN,1.000000,24.000000,0.000000,24.000000,0,Carmen Irianda ,,384,61.44,445.44,384.000000,61.440000,445.440000
3304,SUPROMED,Matriz,03/11/2025,Aprobada,MXN,1.000000,10.000000,0.000000,10.000000,30,Josefina Nava ,,2100,0,2100,2100.000000,0.000000,2100.000000
3303,PESO,Matriz,03/11/2025,Aprobada,MXN,1.000000,55.000000,0.000000,55.000000,30,Daniel Alejandro Calderon Hernández,,2097.55,335.61,2433.16,2097.550000,335.610000,2433.160000
3302,ECODELI,Matriz,03/11/2025,Surtida,MXN,1.000000,237.000000,237.000000,0.000000,30,Daniel Alejandro Calderon Hernández,,5362.93,858.07,6221,5362.930000,858.070000,6221.000000
3301,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,03/11/2025,Aprobada,MXN,1.000000,70.000000,0.000000,70.000000,0,Daniel Alejandro Calderon Hernández,,18313.2,2930.11,21243.31,18313.200000,2930.110000,21243.310000
3300,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,03/11/2025,Aprobada,MXN,1.000000,17.000000,0.000000,17.000000,0,Carmen Irianda ,,7356.2,1176.99,8533.19,7356.200000,1176.990000,8533.190000
3299,ECODELI,Matriz,03/11/2025,Surtida,MXN,1.000000,3.000000,3.000000,0.000000,30,Daniel Alejandro Calderon Hernández,,857.46,137.19,994.65,857.460000,137.190000,994.650000
3298,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,03/11/2025,Surtida,MXN,1.000000,44.000000,44.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,11892.3,1902.77,13795.07,11892.300000,1902.770000,13795.070000
3297,DICOLOR,Matriz,31/10/2025,Aprobada,MXN,1.000000,5.000000,0.000000,5.000000,21,Carmen Irianda ,,8181,1308.96,9489.96,8181.000000,1308.960000,9489.960000
3296,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,31/10/2025,Cancelada,MXN,1.000000,20.000000,0.000000,20.000000,0,Daniel Alejandro Calderon Hernández,,5610,897.6,6507.6,5610.000000,897.600000,6507.600000
3295,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,31/10/2025,Surtida,MXN,1.000000,20.000000,20.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,5610,897.6,6507.6,5610.000000,897.600000,6507.600000
3294,MERCADO LIBRE,Matriz,31/10/2025,Surtida,MXN,1.000000,132.000000,132.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,4705.54,752.89,5458.43,4705.540000,752.890000,5458.430000
3293,ALFA &amp; OMEGA,Matriz,31/10/2025,Surtida,MXN,1.000000,20.000000,20.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,195.8,31.33,227.13,195.800000,31.330000,227.130000
3292,GINEZ,Matriz,31/10/2025,Surtida,MXN,1.000000,400.000000,400.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,3724,595.84,4319.84,3724.000000,595.840000,4319.840000
3291,RYASA,Matriz,31/10/2025,Aprobada,MXN,1.000000,236.000000,0.000000,236.000000,0,Carmen Irianda ,PRECIOS EN USD,188.8,30.21,219.01,188.800000,30.210000,219.010000
3290,MEDELAB,Matriz,31/10/2025,Aprobada,MXN,1.000000,5.000000,0.000000,5.000000,0,Josefina Nava ,234393,330.4,52.86,383.26,330.400000,52.860000,383.260000
3289,CAPSALAB,Matriz,31/10/2025,Aprobada,MXN,1.000000,15.000000,0.000000,15.000000,0,Josefina Nava ,234424,2142,342.72,2484.72,2142.000000,342.720000,2484.720000
3288,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,3.000000,3.000000,0.000000,30,Josefina Nava ,"233817(5), 233630(2)",1659.63,265.54,1925.17,1659.630000,265.540000,1925.170000
3287,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,11.000000,11.000000,0.000000,30,Josefina Nava ,"233555(1), 233667(16)",17519.03,2803.04,20322.07,17519.030000,2803.040000,20322.070000
3286,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,1.000000,1.000000,0.000000,30,Josefina Nava ,233294(10-1PZA),908.01,145.28,1053.29,908.010000,145.280000,1053.290000
3285,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,21.000000,21.000000,0.000000,30,Josefina Nava ,"233538(4,6-6PZAS)",744.66,119.15,863.81,744.660000,119.150000,863.810000
3284,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,20.000000,20.000000,0.000000,30,Josefina Nava ,"233294(4,10-5PZAS,18,26), 233324(8-1PZA,16,26,30)",15718.63,2514.98,18233.61,15718.630000,2514.980000,18233.610000
3283,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,157.000000,157.000000,0.000000,30,Josefina Nava ,"233370, 231034(28,29), 233063, 232678, 233160(1,6,8,9,10,11,12,13,14,16)",8659.17,1385.47,10044.64,8659.170000,1385.470000,10044.640000
3282,FANASA,Matriz,30/10/2025,Aprobada,MXN,1.000000,5.000000,0.000000,5.000000,0,Josefina Nava ,233739(5),1000.05,160.01,1160.06,1000.050000,160.010000,1160.060000
3281,VIRESA,Matriz,30/10/2025,Surtida,MXN,1.000000,53.000000,53.000000,0.000000,30,Josefina Nava ,"233160(2,4,5,7), 233153(1), 231875(6)",6045.5,967.28,7012.78,6045.500000,967.280000,7012.780000
3280,MEDELAB,Matriz,30/10/2025,Aprobada,MXN,1.000000,1.000000,0.000000,1.000000,0,Josefina Nava ,233815,285.48,45.68,331.16,285.480000,45.680000,331.160000
3279,FANASA,Matriz,30/10/2025,Aprobada,MXN,1.000000,3.000000,0.000000,3.000000,0,Josefina Nava ,233739(3),773.73,123.8,897.53,773.730000,123.800000,897.530000
3278,ECODELI,Matriz,29/10/2025,Cancelada,MXN,1.000000,3.000000,0.000000,3.000000,30,Carmen Irianda ,,857.46,137.19,994.65,857.460000,137.190000,994.650000
3277,ALCOHOLERA DEL CENTRO,Matriz,29/10/2025,Aprobada,MXN,1.000000,13.000000,0.000000,13.000000,0,Carmen Irianda ,,1961.18,313.79,2274.97,1961.180000,313.790000,2274.970000
3276,JW WINCO,Matriz,28/10/2025,Aprobada,MXN,1.000000,9.000000,0.000000,9.000000,0,Carmen Irianda ,,13026.4,2084.22,15110.62,13026.400000,2084.220000,15110.620000
3275,AQUALIFE,Matriz,28/10/2025,Aprobada,MXN,1.000000,50.000000,0.000000,50.000000,0,Carmen Irianda ,,1922.5,307.6,2230.1,1922.500000,307.600000,2230.100000
3274,REJILLAS Y SUMINISTROS INDUSTRIALES MADRID,Matriz,28/10/2025,Aprobada,MXN,1.000000,3.000000,0.000000,3.000000,0,Carmen Irianda ,A ENTREGAR CON REMISIÓN A NUESTRO NOMBRE EN CLIENTE FRAENKISCHE PARQUE LAS COLINAS SILAO TENTATIVAMENTE JUEVES 6 DE NOVIEMBRE.,34936.98,5589.92,40526.9,34936.980000,5589.920000,40526.900000
3273,BOTELLO ,Matriz,28/10/2025,Aprobada,MXN,1.000000,10.000000,0.000000,10.000000,0,Josefina Nava ,233661(2),1724.14,275.86,2000,1724.140000,275.860000,2000.000000
3272,SUFARMED,Matriz,28/10/2025,Surtida,MXN,1.000000,451.000000,451.000000,0.000000,30,Josefina Nava ,NHK (25-1100-L),13957.45,0,13957.45,13957.450000,0.000000,13957.450000
3271,SUFARMED,Matriz,28/10/2025,Surtida,MXN,1.000000,7.000000,7.000000,0.000000,30,Josefina Nava ,PGB(25-1308-L),273.2,0,273.2,273.200000,0.000000,273.200000
3270,SUFARMED,Matriz,28/10/2025,Surtida,MXN,1.000000,51.000000,51.000000,0.000000,30,Josefina Nava ,"PGC (25-1185-L, 25-1204-L)",801.55,0,801.55,801.550000,0.000000,801.550000
3269,SUFARMED,Matriz,28/10/2025,Surtida,MXN,1.000000,241.000000,241.000000,0.000000,30,Josefina Nava ,232856,5955.45,372.52,6327.97,5955.450000,372.520000,6327.970000
3268,SUFARMED,Matriz,28/10/2025,Surtida,MXN,1.000000,22.000000,22.000000,0.000000,30,Josefina Nava ,231608,1025.46,143.33,1168.79,1025.460000,143.330000,1168.790000
3267,VELAQUIN,Matriz,27/10/2025,Surtida,MXN,1.000000,46.000000,46.000000,0.000000,30,Josefina Nava ,"231905(28), 232977(1,2,8,11), 231667",4007.06,641.13,4648.19,4007.060000,641.130000,4648.190000
3266,VELAQUIN,Matriz,27/10/2025,Surtida,MXN,1.000000,74.000000,74.000000,0.000000,30,Josefina Nava ,"233538(1,2,5,6-4PZAS,9), 233324(5)",5708.39,913.34,6621.73,5708.390000,913.340000,6621.730000
3265,ECOBOLSA,Matriz,27/10/2025,Surtida,MXN,1.000000,1375.000000,1375.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,42600,3408,46008,42600.000000,3408.000000,46008.000000
3264,ABASTECEDORA INDUSTRIAL,Matriz,24/10/2025,Aprobada,MXN,1.000000,1.000000,0.000000,1.000000,0,Carmen Irianda ,,29483.25,4717.32,34200.57,29483.250000,4717.320000,34200.570000
3263,JARCERIA RAMIREZ,Matriz,24/10/2025,Aprobada,MXN,1.000000,1.000000,0.000000,1.000000,0,Carmen Irianda ,,33.54,5.37,38.91,33.540000,5.370000,38.910000
3262,COPAR,Matriz,24/10/2025,Surtida,MXN,1.000000,752.000000,752.000000,0.000000,0,Carmen Irianda ,,10748,1719.68,12467.68,10748.000000,1719.680000,12467.680000
3261,ELVEC S.A. DE C.V,Matriz,24/10/2025,Aprobada,MXN,1.000000,21.000000,0.000000,21.000000,0,Josefina Nava ,192479,40580,6492.8,47072.8,40580.000000,6492.800000,47072.800000
3260,ATC,Matriz,23/10/2025,Aprobada,MXN,1.000000,23.000000,0.000000,23.000000,0,Carmen Irianda ,,7451.1,1192.18,8643.28,7451.100000,1192.180000,8643.280000
3259,DECASA,Matriz,23/10/2025,Aprobada,MXN,1.000000,1.000000,0.000000,1.000000,0,Carmen Irianda ,,14.86,2.38,17.24,14.860000,2.380000,17.240000
3258,OVALCOM SA DE CV,Matriz,23/10/2025,Surtida,MXN,1.000000,63.000000,63.000000,0.000000,0,Carmen Irianda ,,15819.45,2531.11,18350.56,15819.450000,2531.110000,18350.560000
3257,GINEZ,Matriz,23/10/2025,Aprobada,MXN,1.000000,400.000000,0.000000,400.000000,0,Carmen Irianda ,,3724.14,595.86,4320,3724.140000,595.860000,4320.000000
3256,JW WINCO,Matriz,22/10/2025,Aprobada,MXN,1.000000,25.000000,0.000000,25.000000,0,Carmen Irianda ,,16717.6,2674.82,19392.42,16717.600000,2674.820000,19392.420000
3255,FINSA(FERRETERA INDUSTRIAL DEL NORTE),Matriz,22/10/2025,Surtida,MXN,1.000000,115.000000,115.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,2990,478.4,3468.4,2990.000000,478.400000,3468.400000
3254,RS,Matriz,22/10/2025,Surtida,MXN,1.000000,3.000000,3.000000,0.000000,15,Daniel Alejandro Calderon Hernández,,284.49,45.52,330.01,284.490000,45.520000,330.010000
3253,JW WINCO,Matriz,22/10/2025,Aprobada,MXN,1.000000,9.000000,0.000000,9.000000,0,Carmen Irianda ,,9119.2,1459.07,10578.27,9119.200000,1459.070000,10578.270000
3252,JW WINCO,Matriz,22/10/2025,Aprobada,MXN,1.000000,9.000000,0.000000,9.000000,0,Carmen Irianda ,,13026.4,2084.22,15110.62,13026.400000,2084.220000,15110.620000
3251,ECODELI,Matriz,22/10/2025,Surtida,MXN,1.000000,147.000000,147.000000,0.000000,30,Daniel Alejandro Calderon Hernández,,4024.95,643.99,4668.94,4024.950000,643.990000,4668.940000
3250,PESO,Matriz,22/10/2025,Surtida,MXN,1.000000,210.000000,210.000000,0.000000,30,Daniel Alejandro Calderon Hernández,,18250,2920,21170,18250.000000,2920.000000,21170.000000
3249,BOTELLO ,Matriz,22/10/2025,Aprobada,MXN,1.000000,223.000000,0.000000,223.000000,0,Daniel Alejandro Calderon Hernández,,1887.08,0,1887.08,1887.080000,0.000000,1887.080000
3248,STAUBLI,Matriz,22/10/2025,Aprobada,MXN,1.000000,60.000000,0.000000,60.000000,0,Carmen Irianda ,PRECIOS EN USD,2053.2,328.51,2381.71,2053.200000,328.510000,2381.710000
3247,NORELEM,Matriz,22/10/2025,Aprobada,MXN,1.000000,25.000000,0.000000,25.000000,0,Carmen Irianda ,,2817.88,450.86,3268.74,2817.880000,450.860000,3268.740000
3246,NORELEM,Matriz,22/10/2025,Aprobada,MXN,1.000000,77.000000,0.000000,77.000000,0,Carmen Irianda ,,8544.12,1367.06,9911.18,8544.120000,1367.060000,9911.180000
3245,SUPER GEL,Matriz,21/10/2025,Aprobada,MXN,1.000000,880.000000,868.000000,12.000000,0,Carmen Irianda ,,15292.64,2446.82,17739.46,15292.640000,2446.820000,17739.460000
3244,JARCERIA RAMIREZ,Matriz,21/10/2025,Surtida,MXN,1.000000,305.000000,305.000000,0.000000,0,Carmen Irianda ,,10963.31,1754.13,12717.44,10963.310000,1754.130000,12717.440000
3243,ALCOHOLERA DEL CENTRO,Matriz,21/10/2025,Aprobada,MXN,1.000000,16.000000,0.000000,16.000000,0,Carmen Irianda ,,2413.76,386.2,2799.96,2413.760000,386.200000,2799.960000
3242,KOPAR AUTOMATIZACION,Matriz,21/10/2025,Aprobada,MXN,1.000000,8.000000,0.000000,8.000000,0,Carmen Irianda ,,5160.96,825.75,5986.71,5160.960000,825.750000,5986.710000
3241,RS,Matriz,21/10/2025,Surtida,MXN,1.000000,311.000000,311.000000,0.000000,15,Daniel Alejandro Calderon Hernández,,13625.49,2180.08,15805.57,13625.490000,2180.080000,15805.570000
3240,PESO,Matriz,21/10/2025,Surtida,MXN,1.000000,40.000000,40.000000,0.000000,30,Daniel Alejandro Calderon Hernández,,1760,281.6,2041.6,1760.000000,281.600000,2041.600000
3239,LA FRESA ,Matriz,21/10/2025,Aprobada,MXN,1.000000,13.000000,0.000000,13.000000,0,Daniel Alejandro Calderon Hernández,,547,87.52,634.52,547.000000,87.520000,634.520000
3238,JARCIERIA VALERIA,Matriz,21/10/2025,Aprobada,MXN,1.000000,216.000000,0.000000,216.000000,15,Daniel Alejandro Calderon Hernández,,6888,1102.08,7990.08,6888.000000,1102.080000,7990.080000
3237,CAPSALAB,Matriz,21/10/2025,Aprobada,MXN,1.000000,10.000000,0.000000,10.000000,0,Josefina Nava ,"CONAGUA (25-1230-L), 233667(1,2,3)",8779.62,1404.74,10184.36,8779.620000,1404.740000,10184.360000
3236,OLIVIA RODRIGUEZ GARCIA (GARDENT IRAPUATO),Matriz,21/10/2025,Aprobada,MXN,1.000000,25.000000,0.000000,25.000000,0,Josefina Nava ,233711(14),3340.52,534.48,3875,3340.520000,534.480000,3875.000000
3235,DICOLOR,Matriz,20/10/2025,Aprobada,MXN,1.000000,5.000000,0.000000,5.000000,21,Carmen Irianda ,,4012.07,641.93,4654,4012.070000,641.930000,4654.000000
3234,LA FRESA ,Matriz,20/10/2025,Surtida,MXN,1.000000,29.000000,29.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,853,136.48,989.48,853.000000,136.480000,989.480000
3233,MIGUEL ANGEL RODRIGUEZ MARTINEZ (STANFORD DEPOSITO DENTAL),Matriz,20/10/2025,Aprobada,MXN,1.000000,60.000000,0.000000,60.000000,0,Josefina Nava ,"233711(2,3)",34288.8,0,34288.8,34288.800000,0.000000,34288.800000
3232,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,20/10/2025,Surtida,MXN,1.000000,63.000000,63.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,16863.1,2698.1,19561.2,16863.100000,2698.100000,19561.200000
3231,RODVAL,Matriz,20/10/2025,Aprobada,MXN,1.000000,2.000000,0.000000,2.000000,0,Josefina Nava ,CONAGUA (25-1209-L),4567.6,730.82,5298.42,4567.600000,730.820000,5298.420000
3230,PESO,Matriz,20/10/2025,Cancelada,MXN,1.000000,40.000000,0.000000,40.000000,30,Daniel Alejandro Calderon Hernández,,1504,240.64,1744.64,1504.000000,240.640000,1744.640000
3229,MISUMI MEXICO,Matriz,17/10/2025,Aprobada,MXN,1.000000,21.000000,0.000000,21.000000,0,Carmen Irianda ,PRECIOS EN DOLARES,522.9,83.66,606.56,522.900000,83.660000,606.560000
3228,JW WINCO,Matriz,17/10/2025,Aprobada,MXN,1.000000,145.000000,0.000000,145.000000,0,Carmen Irianda ,,24887.2,3981.95,28869.15,24887.200000,3981.950000,28869.150000
3227,SUFARMED,Matriz,16/10/2025,Surtida,MXN,1.000000,79.000000,79.000000,0.000000,30,Josefina Nava ,PGC (25-1040-L),2838.28,3.52,2841.8,2838.280000,3.520000,2841.800000
3226,SUFARMED,Matriz,16/10/2025,Surtida,MXN,1.000000,3.000000,3.000000,0.000000,30,Josefina Nava ,DR DAVID,133.35,0,133.35,133.350000,0.000000,133.350000
3225,SUFARMED,Matriz,16/10/2025,Surtida,MXN,1.000000,235.000000,235.000000,0.000000,30,Josefina Nava ,PEC (25-1050-L),6063.93,63.97,6127.9,6063.930000,63.970000,6127.900000
3224,SUFARMED,Matriz,16/10/2025,Surtida,MXN,1.000000,190.000000,190.000000,0.000000,30,Josefina Nava ,DRA ERIKA (25-1012-L),7151.25,55.52,7206.77,7151.250000,55.520000,7206.770000
3223,PYM IRAPUATO,Matriz,16/10/2025,Surtida,MXN,1.000000,40.000000,40.000000,0.000000,0,Josefina Nava ,NHK (25-1100-L),2418.98,0,2418.98,2418.980000,0.000000,2418.980000
3222,PROLIMPIEZA,Matriz,16/10/2025,Aprobada,MXN,1.000000,1812.000000,0.000000,1812.000000,0,Carmen Irianda ,,53177,8508.32,61685.32,53177.000000,8508.320000,61685.320000
3221,DECASA,Matriz,14/10/2025,Surtida,MXN,1.000000,1818.000000,1818.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,120753.28,19320.52,140073.8,120753.280000,19320.520000,140073.800000
3220,DECASA,Matriz,14/10/2025,Surtida,MXN,1.000000,980.000000,980.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,24881.22,3981,28862.22,24881.220000,3981.000000,28862.220000
3219,DIKYSA,Matriz,14/10/2025,Aprobada,MXN,1.000000,21.000000,0.000000,21.000000,0,Josefina Nava ,233250,10587,1693.92,12280.92,10587.000000,1693.920000,12280.920000
3218,SESHIR,Matriz,14/10/2025,Aprobada,MXN,1.000000,10.000000,0.000000,10.000000,0,Carmen Irianda ,,5770,923.2,6693.2,5770.000000,923.200000,6693.200000
3217,SUPROMED,Matriz,14/10/2025,Surtida,MXN,1.000000,2.000000,2.000000,0.000000,30,Josefina Nava ,233555(2),412.5,0,412.5,412.500000,0.000000,412.500000
3216,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,14/10/2025,Aprobada,MXN,1.000000,2.000000,0.000000,2.000000,0,Carmen Irianda ,,1254.02,200.64,1454.66,1254.020000,200.640000,1454.660000
3215,RESORTES Y REFACCIONES IRAPUATO,Matriz,14/10/2025,Aprobada,MXN,1.000000,120.000000,0.000000,120.000000,0,Carmen Irianda ,,4137.93,662.07,4800,4137.930000,662.070000,4800.000000
3214,DICOLOR,Matriz,14/10/2025,Aprobada,MXN,1.000000,2.000000,0.000000,2.000000,21,Carmen Irianda ,,6608,1057.28,7665.28,6608.000000,1057.280000,7665.280000
3213,LA FRESA ,Matriz,14/10/2025,Surtida,MXN,1.000000,72.000000,72.000000,0.000000,0,Carmen Irianda ,,2082.05,333.13,2415.18,2082.050000,333.130000,2415.180000
3212,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,14/10/2025,Aprobada,MXN,1.000000,40.000000,0.000000,40.000000,0,Daniel Alejandro Calderon Hernández,,11220,1795.2,13015.2,11220.000000,1795.200000,13015.200000
3211,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,13/10/2025,Surtida,MXN,1.000000,117.000000,117.000000,0.000000,0,Carmen Irianda ,,42939,6870.24,49809.24,42939.000000,6870.240000,49809.240000
3210,ECOBOLSA,Matriz,13/10/2025,Surtida,MXN,1.000000,1800.000000,1800.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,45200,3616,48816,45200.000000,3616.000000,48816.000000
3209,ECOBOLSA,Matriz,13/10/2025,Aprobada,MXN,1.000000,1125.000000,0.000000,1125.000000,0,Daniel Alejandro Calderon Hernández,,36000,2880,38880,36000.000000,2880.000000,38880.000000
3208,MEDELAB,Matriz,13/10/2025,Aprobada,MXN,1.000000,3.000000,0.000000,3.000000,0,Josefina Nava ,,5172.46,827.59,6000.05,5172.460000,827.590000,6000.050000
3207,DIKYSA,Matriz,13/10/2025,Aprobada,MXN,1.000000,5.000000,0.000000,5.000000,0,Josefina Nava ,233210,10338,1654.08,11992.08,10338.000000,1654.080000,11992.080000
3206,JARCIERIA VALERIA,Matriz,13/10/2025,Surtida,MXN,1.000000,180.000000,180.000000,0.000000,15,Daniel Alejandro Calderon Hernández,,5970,955.2,6925.2,5970.000000,955.200000,6925.200000
3205,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,13/10/2025,Aprobada,MXN,1.000000,95.000000,0.000000,95.000000,0,Daniel Alejandro Calderon Hernández,,26891,4302.56,31193.56,26891.000000,4302.560000,31193.560000
3204,JARCERIA RAMIREZ,Matriz,13/10/2025,Surtida,MXN,1.000000,312.000000,312.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,4085.88,653.74,4739.62,4085.880000,653.740000,4739.620000
3203,RODVAL,Matriz,13/10/2025,Aprobada,MXN,1.000000,7.000000,0.000000,7.000000,0,Josefina Nava ,"233294(16), 233324(1,3,4,20), 233736(2)",28047.62,4487.62,32535.24,28047.620000,4487.620000,32535.240000
3202,MEDELAB,Matriz,13/10/2025,Aprobada,MXN,1.000000,7.000000,0.000000,7.000000,0,Josefina Nava ,"233595, 233736(1,3)",1814.28,290.28,2104.56,1814.280000,290.280000,2104.560000
3201,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,13/10/2025,Aprobada,MXN,1.000000,2.000000,0.000000,2.000000,0,Carmen Irianda ,,614.66,98.35,713.01,614.660000,98.350000,713.010000
3200,ZAOLI,Matriz,10/10/2025,Aprobada,MXN,1.000000,38.000000,0.000000,38.000000,30,Carmen Irianda ,,4465,714.4,5179.4,4465.000000,714.400000,5179.400000
3199,DICOLOR,Matriz,10/10/2025,Aprobada,MXN,1.000000,2.000000,0.000000,2.000000,21,Carmen Irianda ,,3335.34,533.65,3868.99,3335.340000,533.650000,3868.990000
